library,scheme,N,category,grid_depth,effective_depth,trial,step_index,step_name,noise_budget_bits,correctness,status
SEAL,BGV,4096,1,1,1,7,3,after_relinearize_1,0,correct,measured
SEAL,BGV,4096,1,1,1,8,0,fresh,37,correct,measured
SEAL,BGV,4096,1,1,1,8,1,after_add,37,correct,measured
SEAL,BGV,4096,1,1,1,8,2,after_multiply_1,0,correct,measured
SEAL,BGV,4096,1,1,1,8,3,after_relinearize_1,0,correct,measured
SEAL,BGV,4096,1,1,1,9,0,fresh,37,correct,measured
SEAL,BGV,4096,1,1,1,9,1,after_add,37,correct,measured
SEAL,BGV,4096,1,1,1,9,2,after_multiply_1,0,correct,measured
SEAL,BGV,4096,1,1,1,9,3,after_relinearize_1,0,correct,measured
SEAL,BGV,4096,3,0,0,0,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,0,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,1,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,1,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,2,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,2,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,3,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,3,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,4,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,4,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,5,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,5,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,6,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,6,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,7,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,7,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,8,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,8,1,after_add,5,correct,measured
SEAL,BGV,4096,3,0,0,9,0,fresh,6,correct,measured
SEAL,BGV,4096,3,0,0,9,1,after_add,5,correct,measured
SEAL,BGV,4096,5,0,0,0,0,fresh,3,correct,measured
SEAL,BGV,4096,5,0,0,0,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,1,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,1,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,2,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,2,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,3,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,3,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,4,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,4,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,5,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,5,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,6,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,6,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,7,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,7,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,8,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,8,1,after_add,3,correct,measured
SEAL,BGV,4096,5,0,0,9,0,fresh,4,correct,measured
SEAL,BGV,4096,5,0,0,9,1,after_add,3,correct,measured
SEAL,BGV,8192,1,2,2,0,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,0,1,after_add,111,correct,measured
SEAL,BGV,8192,1,2,2,0,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,0,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,0,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,0,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,1,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,1,1,after_add,110,correct,measured
SEAL,BGV,8192,1,2,2,1,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,1,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,1,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,1,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,2,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,2,1,after_add,111,correct,measured
SEAL,BGV,8192,1,2,2,2,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,2,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,2,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,2,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,3,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,3,1,after_add,111,correct,measured
SEAL,BGV,8192,1,2,2,3,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,3,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,3,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,3,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,4,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,4,1,after_add,111,correct,measured
SEAL,BGV,8192,1,2,2,4,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,4,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,4,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,4,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,5,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,5,1,after_add,110,correct,measured
SEAL,BGV,8192,1,2,2,5,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,5,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,5,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,5,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,6,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,6,1,after_add,111,correct,measured
SEAL,BGV,8192,1,2,2,6,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,6,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,6,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,6,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,7,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,7,1,after_add,110,correct,measured
SEAL,BGV,8192,1,2,2,7,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,7,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,7,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,7,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,8,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,8,1,after_add,111,correct,measured
SEAL,BGV,8192,1,2,2,8,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,8,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,8,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,8,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,1,2,2,9,0,fresh,111,correct,measured
SEAL,BGV,8192,1,2,2,9,1,after_add,111,correct,measured
SEAL,BGV,8192,1,2,2,9,2,after_multiply_1,74,correct,measured
SEAL,BGV,8192,1,2,2,9,3,after_relinearize_1,74,correct,measured
SEAL,BGV,8192,1,2,2,9,4,after_multiply_2,36,correct,measured
SEAL,BGV,8192,1,2,2,9,5,after_relinearize_2,36,correct,measured
SEAL,BGV,8192,3,1,1,0,0,fresh,64,correct,measured
SEAL,BGV,8192,3,1,1,0,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,0,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,0,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,1,0,fresh,65,correct,measured
SEAL,BGV,8192,3,1,1,1,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,1,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,1,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,2,0,fresh,64,correct,measured
SEAL,BGV,8192,3,1,1,2,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,2,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,2,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,3,0,fresh,65,correct,measured
SEAL,BGV,8192,3,1,1,3,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,3,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,3,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,4,0,fresh,64,correct,measured
SEAL,BGV,8192,3,1,1,4,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,4,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,4,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,5,0,fresh,65,correct,measured
SEAL,BGV,8192,3,1,1,5,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,5,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,5,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,6,0,fresh,65,correct,measured
SEAL,BGV,8192,3,1,1,6,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,6,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,6,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,7,0,fresh,65,correct,measured
SEAL,BGV,8192,3,1,1,7,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,7,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,7,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,8,0,fresh,64,correct,measured
SEAL,BGV,8192,3,1,1,8,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,8,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,8,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,3,1,1,9,0,fresh,65,correct,measured
SEAL,BGV,8192,3,1,1,9,1,after_add,64,correct,measured
SEAL,BGV,8192,3,1,1,9,2,after_multiply_1,27,correct,measured
SEAL,BGV,8192,3,1,1,9,3,after_relinearize_1,27,correct,measured
SEAL,BGV,8192,5,0,0,0,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,0,1,after_add,25,correct,measured
SEAL,BGV,8192,5,0,0,1,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,1,1,after_add,25,correct,measured
SEAL,BGV,8192,5,0,0,2,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,2,1,after_add,25,correct,measured
SEAL,BGV,8192,5,0,0,3,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,3,1,after_add,25,correct,measured
SEAL,BGV,8192,5,0,0,4,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,4,1,after_add,25,correct,measured
SEAL,BGV,8192,5,0,0,5,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,5,1,after_add,25,correct,measured
SEAL,BGV,8192,5,0,0,6,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,6,1,after_add,25,correct,measured
SEAL,BGV,8192,5,0,0,7,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,7,1,after_add,24,correct,measured
SEAL,BGV,8192,5,0,0,8,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,8,1,after_add,25,correct,measured
SEAL,BGV,8192,5,0,0,9,0,fresh,25,correct,measured
SEAL,BGV,8192,5,0,0,9,1,after_add,25,correct,measured
SEAL,CKKS,2048,1,0,,,,,,,"skipped_not_applicable_ckks"
SEAL,CKKS,2048,3,0,,,,,,,"skipped_not_applicable_ckks"
SEAL,CKKS,2048,5,0,,,,,,,"skipped_not_applicable_ckks"
SEAL,CKKS,4096,1,1,,,,,,,"skipped_not_applicable_ckks"
SEAL,CKKS,4096,3,0,,,,,,,"skipped_not_applicable_ckks"
SEAL,CKKS,4096,5,0,,,,,,,"skipped_not_applicable_ckks"
SEAL,CKKS,8192,1,2,,,,,,,"skipped_not_applicable_ckks"
SEAL,CKKS,8192,3,1,,,,,,,"skipped_not_applicable_ckks"
SEAL,CKKS,8192,5,0,,,,,,,"skipped_not_applicable_ckks"
